id,source_file,source_line,tag,source_control,desktop,mobile,keyboard,validation,wallet_disconnected,wallet_connected,account_network_change,evidence,issue,overall
R123,apps/web/components/mint/MintClient.tsx,3450,select,"<select value={collectionSelector} onChange={(e) => setCollectionSelector(e.target.value as ""saved"" | ""manual"")} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R124,apps/web/components/mint/MintClient.tsx,3461,select,<select value={customCollectionAddress} onChange={(e) => setCustomCollectionAddress(e.target.value)} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R125,apps/web/components/mint/MintClient.tsx,3475,input,<input value={customCollectionAddress} onChange={(e) => setCustomCollectionAddress(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R126,apps/web/components/mint/MintClient.tsx,3496,a,"<a href={toExplorerAddress(config.chainId, customCollectionAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R127,apps/web/components/mint/MintClient.tsx,3510,input,"<input value={custom1155TokenId} onChange={(e) => setCustom1155TokenId(e.target.value)} inputMode=""numeric"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R128,apps/web/components/mint/MintClient.tsx,3520,input,"<input type=""checkbox"" checked={lockMetadata} onChange={(e) => setLockMetadata(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R129,apps/web/components/mint/MintClient.tsx,3536,summary,"<summary style={{ cursor: ""pointer"", fontWeight: 600, marginTop: ""0.5rem"" }}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R130,apps/web/components/mint/MintClient.tsx,3546,input,<input value={deployName} onChange={(e) => setDeployName(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R131,apps/web/components/mint/MintClient.tsx,3550,input,<input value={deploySymbol} onChange={(e) => setDeploySymbol(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R132,apps/web/components/mint/MintClient.tsx,3554,input,<input value={deploySubname} onChange={(e) => setDeploySubname(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R133,apps/web/components/mint/MintClient.tsx,3564,input,"<input value={deployRoyaltyReceiver} onChange={(e) => setDeployRoyaltyReceiver(e.target.value)} placeholder=""0x... or name.eth"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R134,apps/web/components/mint/MintClient.tsx,3585,input,"<input value={deployRoyaltyBps} onChange={(e) => setDeployRoyaltyBps(e.target.value)} inputMode=""numeric"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R135,apps/web/components/mint/MintClient.tsx,3592,button,"<button type=""button"" onClick={onDeployCollection} disabled={!isConnected || wrongNetwork || deployTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R136,apps/web/components/mint/MintClient.tsx,3618,input,<input value={name} onChange={(e) => setName(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R137,apps/web/components/mint/MintClient.tsx,3622,input,<input value={description} onChange={(e) => setDescription(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R138,apps/web/components/mint/MintClient.tsx,3627,input,"<input value={copies} onChange={(e) => setCopies(e.target.value)} inputMode=""numeric"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R139,apps/web/components/mint/MintClient.tsx,3635,input,"<input type=""file"" accept=""image/*"" onChange={(e) => setImageFile(e.target.files?.[0] ?? null)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R140,apps/web/components/mint/MintClient.tsx,3638,input,"<input type=""checkbox"" checked={includeAudio} onChange={(e) => setIncludeAudio(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R141,apps/web/components/mint/MintClient.tsx,3648,input,"<input type=""file"" accept=""audio/*"" onChange={(e) => setAudioFile(e.target.files?.[0] ?? null)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R142,apps/web/components/mint/MintClient.tsx,3663,input,"<input type=""checkbox"" checked={includeExternalUrl} onChange={(e) => setIncludeExternalUrl(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R143,apps/web/components/mint/MintClient.tsx,3673,input,<input value={externalUrl} onChange={(e) => setExternalUrl(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R144,apps/web/components/mint/MintClient.tsx,3677,input,"<input type=""checkbox"" checked={useCustomMetadataUri} onChange={(e) => setUseCustomMetadataUri(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R145,apps/web/components/mint/MintClient.tsx,3687,input,<input value={metadataUri} onChange={(e) => setMetadataUri(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R146,apps/web/components/mint/MintClient.tsx,3757,button,"<button type=""submit"" disabled={!isConnected || wrongNetwork || mintTx.status === ""pending"" || uploadTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R147,apps/web/components/mint/MintClient.tsx,3775,a,"<a href={toExplorerTx(getContractsConfig().chainId, mintTx.hash)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R148,apps/web/components/mint/MintClient.tsx,3780,a,"<a href={uploadReceipt.metadataGatewayUrl} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R149,apps/web/components/mint/MintClient.tsx,3787,a,"<a href={uploadReceipt.imageGatewayUrl} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R150,apps/web/components/mint/MintClient.tsx,3792,a,"<a href={uploadReceipt.audioGatewayUrl} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R151,apps/web/components/mint/MintClient.tsx,3836,select,"<select value={manageSelector} onChange={(e) => setManageSelector(e.target.value as ""saved"" | ""manual"")} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R152,apps/web/components/mint/MintClient.tsx,3848,select,<select value={manageAddress} onChange={(e) => setManageAddress(e.target.value)} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R153,apps/web/components/mint/MintClient.tsx,3863,input,<input value={manageAddress} onChange={(e) => setManageAddress(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R154,apps/web/components/mint/MintClient.tsx,3903,a,"<a href={toExplorerAddress(config.chainId, manageAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R155,apps/web/components/mint/MintClient.tsx,3947,button,"<button type=""button"" className=""secondaryButton"" disabled={!isAddress(manageAddress) || viewCollectionLoading} onClick={() => { if (!isAddress(manageAddress)) return; setViewCollectionLoading(true); setViewCollectionError(""""); void fetchCollectionTokens(manageAddress, { chainId: config.chainId, sync: true, syncScope: ""collection"", timeoutMs: 30_000, ownerAddress: manageCollectionOwner || account || undefined, royaltyReceiverAddress: manageRoyaltyReceiver || undefined, implementationAddress: manageImplementationAddress || undefined }) .then(async (result) => { if (result.count === 0 && publicClient && manageCollectionStandard) { result = await fetchCollectionTokensOnChain({ publicClient, cha",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R156,apps/web/components/mint/MintClient.tsx,4063,select,"<select value={manageSelector} onChange={(e) => setManageSelector(e.target.value as ""saved"" | ""manual"")} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R157,apps/web/components/mint/MintClient.tsx,4075,select,<select value={manageAddress} onChange={(e) => setManageAddress(e.target.value)} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R158,apps/web/components/mint/MintClient.tsx,4090,input,<input value={manageAddress} onChange={(e) => setManageAddress(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R159,apps/web/components/mint/MintClient.tsx,4104,a,"<a href={toExplorerAddress(config.chainId, manageAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R160,apps/web/components/mint/MintClient.tsx,4128,a,"<a href={toExplorerAddress(config.chainId, manageAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R161,apps/web/components/mint/MintClient.tsx,4139,a,"<a href={toExplorerAddress(config.chainId, manageImplementationAddress)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R162,apps/web/components/mint/MintClient.tsx,4150,button,"<button type=""button"" className=""secondaryButton"" disabled={!isAddress(manageAddress) || !manageCollectionStandard || collectionVerificationTx.status === ""pending""} onClick={() => { if (!isAddress(manageAddress) || !manageCollectionStandard) return; void runCollectionVerification(manageAddress, manageCollectionStandard); }} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R163,apps/web/components/mint/MintClient.tsx,4161,button,"<button type=""button"" className=""secondaryButton"" disabled={!isAddress(manageAddress) || collectionVerificationTx.status === ""pending""} onClick={() => { if (!isAddress(manageAddress)) return; void checkCollectionVerificationStatus(manageAddress); }} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R164,apps/web/components/mint/MintClient.tsx,4173,a,"<a href={collectionVerificationTx.explorerUrl} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R165,apps/web/components/mint/MintClient.tsx,4211,select,<select value={identityMode} onChange={(e) => setIdentityMode(e.target.value as CollectionIdentityMode)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R166,apps/web/components/mint/MintClient.tsx,4225,input,<input value={registerSubnameLabel} onChange={(e) => setRegisterSubnameLabel(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R167,apps/web/components/mint/MintClient.tsx,4232,select,<select value={selectedCollectionSubnameParentOption} onChange={(e) => setCollectionSubnameParent(e.target.value)} disabled={collectionEnsParentCandidates.length === 0} >,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R168,apps/web/components/mint/MintClient.tsx,4267,input,"<input value={registerSubnameLabel} onChange={(e) => setRegisterSubnameLabel(e.target.value)} list={identityMode === ""ens"" ? ""existing-ens-options"" : ""existing-ens-subname-options""} placeholder={identityMode === ""ens"" ? ""artist.eth"" : ""studio.example.eth""} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R169,apps/web/components/mint/MintClient.tsx,4301,input,<input value={registerSubnameLabel} onChange={(e) => setRegisterSubnameLabel(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R170,apps/web/components/mint/MintClient.tsx,4323,button,"<button type=""button"" onClick={() => { void saveCollectionIdentity(); }} disabled={ !isConnected || !isAddress(manageAddress) || ((identityMode === ""nftfactory-subname"" || identityMode === ""register-eth"" || identityMode === ""register-eth-subname"") && wrongNetwork) || (identityMode === ""register-eth-subname"" && !String(collectionSubnameParent || """").trim()) || (identityMode === ""register-eth"" && Boolean(pendingCollectionEnsRegistration) && collectionRegistrationCountdown > 0) || subnameTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R171,apps/web/components/mint/MintClient.tsx,4365,input,"<input value={manageRoyaltyReceiver} onChange={(e) => setManageRoyaltyReceiver(e.target.value)} placeholder={account || ""0x...""} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R172,apps/web/components/mint/MintClient.tsx,4373,input,"<input inputMode=""numeric"" value={manageRoyaltyBps} onChange={(e) => setManageRoyaltyBps(sanitizeRoyaltyBpsInput(e.target.value))} placeholder=""500"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R173,apps/web/components/mint/MintClient.tsx,4383,button,"<button type=""button"" onClick={onSaveDefaultRoyalty} disabled={!isConnected || wrongNetwork || !isAddress(manageAddress) || royaltyTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R174,apps/web/components/mint/MintClient.tsx,4414,a,"<a href={toExplorerAddress(config.chainId, config.royaltySplitRegistry)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R175,apps/web/components/mint/MintClient.tsx,4447,input,"<input value={split.account} onChange={(e) => updateRoyaltySplitRow(index, ""account"", e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R176,apps/web/components/mint/MintClient.tsx,4455,input,"<input inputMode=""numeric"" value={split.bps} onChange={(e) => updateRoyaltySplitRow(index, ""bps"", e.target.value)} placeholder=""5000"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R177,apps/web/components/mint/MintClient.tsx,4468,button,"<button type=""button"" className=""secondary"" onClick={() => removeRoyaltySplitRow(index)} disabled={royaltySplitTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R178,apps/web/components/mint/MintClient.tsx,4488,button,"<button type=""button"" className=""secondary"" onClick={addRoyaltySplitRow} disabled={royaltySplitTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R179,apps/web/components/mint/MintClient.tsx,4496,button,"<button type=""button"" className=""secondary"" onClick={clearRoyaltySplitRows} disabled={royaltySplitTx.status === ""pending"" || manageRoyaltySplits.length === 0} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R180,apps/web/components/mint/MintClient.tsx,4504,button,"<button type=""button"" onClick={onSaveCollectionRoyaltySplits} disabled={!isConnected || wrongNetwork || !isAddress(manageAddress) || royaltySplitTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R181,apps/web/components/mint/MintClient.tsx,4547,a,"<a href={ownerExplorerUrl} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R182,apps/web/components/mint/MintClient.tsx,4584,input,"<input value={transferTarget} onChange={(e) => setTransferTarget(e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R183,apps/web/components/mint/MintClient.tsx,4591,button,"<button type=""button"" onClick={onCancelPendingOwnershipTransfer} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletOwnsCollection || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R184,apps/web/components/mint/MintClient.tsx,4604,button,"<button type=""button"" onClick={onTransferOwnership} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletOwnsCollection || !hasValidTransferTarget || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R185,apps/web/components/mint/MintClient.tsx,4622,button,"<button type=""button"" onClick={onAcceptOwnership} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletIsPendingOwner || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R186,apps/web/components/mint/MintClient.tsx,4648,input,"<input value={transferTarget} onChange={(e) => setTransferTarget(e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R187,apps/web/components/mint/MintClient.tsx,4654,button,"<button type=""button"" onClick={onTransferOwnership} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletOwnsCollection || !hasValidTransferTarget || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R188,apps/web/components/mint/MintClient.tsx,4679,input,"<input value={transferTarget} onChange={(e) => setTransferTarget(e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R189,apps/web/components/mint/MintClient.tsx,4685,button,"<button type=""button"" onClick={onTransferOwnership} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletOwnsCollection || !hasValidTransferTarget || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R190,apps/web/components/mint/MintClient.tsx,4715,input,"<input type=""checkbox"" checked={finalizeConfirmed} onChange={(e) => setFinalizeConfirmed(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R191,apps/web/components/mint/MintClient.tsx,4723,button,"<button type=""button"" onClick={onFinalizeUpgrades} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !finalizeConfirmed || finalizeTx.status === ""pending"" } style={{ background: finalizeConfirmed ? ""#c00"" : undefined }} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R192,apps/web/components/mint/MintClient.tsx,4828,a,"<a href={toExplorerTx(getContractsConfig().chainId, state.hash)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R193,apps/web/components/profile/CreatorIdentityClient.tsx,21,button,<button onClick={()=>setAttempt(value=>value+1)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R194,apps/web/components/profile/CreatorIdentityClient.tsx,21,Link,"<Link href=""/discover"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R195,apps/web/components/profile/CreatorPageClient.tsx,32,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R196,apps/web/components/profile/CreatorPageClient.tsx,32,Link,"<Link className=""ctaLink"" href=""/profile/setup"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R197,apps/web/components/profile/CreatorPageClient.tsx,33,button,<button onClick={()=>setAttempt(v=>v+1)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R198,apps/web/components/profile/CreatorPageClient.tsx,37,a,"<a href={safeProfileLink(link)!} target=""_blank"" rel=""noopener noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R199,apps/web/components/profile/CreatorPageClient.tsx,38,Link,"<Link className=""card"" key={`${c.chainId}:${c.contractAddress}`} href={collectionPath(c.chainId,c.contractAddress)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R200,apps/web/components/profile/CreatorPageClient.tsx,39,Link,"<Link href=""/discover"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R201,apps/web/components/profile/CreatorSetupClient.tsx,49,input,<input value={draft.name} maxLength={80} onChange={e=>change({name:e.target.value})}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R202,apps/web/components/profile/CreatorSetupClient.tsx,49,textarea,<textarea value={draft.bio} maxLength={1200} onChange={e=>change({bio:e.target.value})}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R203,apps/web/components/profile/CreatorSetupClient.tsx,49,textarea,<textarea value={draft.aboutMe} maxLength={1200} onChange={e=>change({aboutMe:e.target.value})}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R204,apps/web/components/profile/CreatorSetupClient.tsx,49,input,"<input type=""url"" value={draft.avatarUrl} maxLength={2048} onChange={e=>change({avatarUrl:e.target.value})}/>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R205,apps/web/components/profile/CreatorSetupClient.tsx,49,input,"<input type=""url"" value={draft.bannerUrl} maxLength={2048} onChange={e=>change({bannerUrl:e.target.value})}/>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R206,apps/web/components/profile/CreatorSetupClient.tsx,49,textarea,<textarea value={draft.links} maxLength={4000} onChange={e=>change({links:e.target.value})}/>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R207,apps/web/components/profile/CreatorSetupClient.tsx,49,input,"<input type=""checkbox"" checked={checked} disabled={!checked&&draft.design.featured.length>=6} onChange={e=>change({design:normalizeDesign({...draft.design,featured:e.target.checked?[...draft.design.featured,key]:draft.design.featured.filter(id=>id!==key)})})}/>",passed: recorded scenario only,not recorded,not recorded,not recorded,not recorded,passed: Sepolia EOA scenario,not recorded,acceptance/live-profile-session.json,,partial; remaining states pending
R208,apps/web/components/profile/CreatorSetupClient.tsx,49,select,"<select value={draft.design.theme} onChange={e=>change({design:normalizeDesign({...draft.design,theme:e.target.value})})}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R209,apps/web/components/profile/CreatorSetupClient.tsx,49,select,"<select value={draft.design.font} onChange={e=>change({design:normalizeDesign({...draft.design,font:e.target.value})})}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R210,apps/web/components/profile/CreatorSetupClient.tsx,49,input,"<input type=""checkbox"" checked={draft.design.modules.includes(module)} onChange={e=>change({design:{...draft.design,modules:e.target.checked?[...draft.design.modules,module]:draft.design.modules.filter(m=>m!==module)}})}/>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R211,apps/web/components/profile/CreatorSetupClient.tsx,49,button,"<button type=""button"" className=""secondary"" disabled={!index} aria-label={`Move ${module} up`} onClick={()=>{const modules=[...draft.design.modules];[modules[index-1],modules[index]]=[modules[index],modules[index-1]];change({design:{...draft.design,modules}});}}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R212,apps/web/components/profile/CreatorSetupClient.tsx,49,button,"<button className=""secondary"" onClick={()=>change({design:normalizeDesign(null)})}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R213,apps/web/components/profile/CreatorSetupClient.tsx,49,button,"<button className=""secondary"" onClick={()=>{setPreview(true);}}>",passed: recorded scenario only,not recorded,not recorded,not recorded,not recorded,passed: Sepolia EOA scenario,not recorded,acceptance/live-profile-session.json,,partial; remaining states pending
R214,apps/web/components/profile/CreatorSetupClient.tsx,49,button,"<button className=""secondary"" disabled={!address||loading} onClick={()=>localDraft('save')}>",passed: recorded scenario only,not recorded,not recorded,not recorded,not recorded,passed: Sepolia EOA scenario,not recorded,acceptance/live-profile-session.json,,partial; remaining states pending
R215,apps/web/components/profile/CreatorSetupClient.tsx,49,button,"<button className=""secondary"" disabled={!address||loading} onClick={()=>localDraft('restore')}>",passed: recorded scenario only,not recorded,not recorded,not recorded,not recorded,passed: Sepolia EOA scenario,not recorded,acceptance/live-profile-session.json,,partial; remaining states pending
R216,apps/web/components/profile/CreatorSetupClient.tsx,49,button,<button disabled={!address||!wallet||!draft.name.trim()||busy||loading} onClick={()=>void save()}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R217,apps/web/components/profile/CreatorSetupClient.tsx,49,Link,"<Link className=""ctaLink"" href={`/profile/${address?.toLowerCase()}`}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R218,apps/web/components/profile/CreatorSetupClient.tsx,51,a,"<a href={safeProfileLink(link)!} target=""_blank"" rel=""noopener noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R219,apps/web/components/profile/CreatorSetupClient.tsx,53,Link,"<Link key={`${c.chainId}:${c.contractAddress}`} href={collectionPath(c.chainId,c.contractAddress)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R220,apps/web/components/profile/CreatorSetupClient.tsx,54,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R221,apps/web/components/profile/CreatorSetupClient.tsx,54,Link,"<Link href=""/profile/setup?advanced=1"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R222,apps/web/components/profile/ListingManagementCard.tsx,115,a,"<a href={txLink} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R223,apps/web/components/profile/ListingManagementCard.tsx,139,button,"<button type=""button"" className=""miniBtn"" onClick={() => onCopy(`${prefix}-nft-${itemKeySuffix}`, item.nft)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R224,apps/web/components/profile/ListingManagementCard.tsx,146,button,"<button type=""button"" className=""miniBtn"" onClick={() => onCopy(`seller-${itemKeySuffix}`, item.seller)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R225,apps/web/components/profile/ListingManagementCard.tsx,152,a,"<a href={metadataUrl} target=""_blank"" rel=""noreferrer"" className=""feedLinkPill"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R226,apps/web/components/profile/ListingManagementCard.tsx,157,a,"<a href={mediaUrl} target=""_blank"" rel=""noreferrer"" className=""feedLinkPill"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R227,apps/web/components/profile/ListingManagementCard.tsx,163,button,"<button type=""button"" className=""feedLinkPill"" onClick={() => onUpdate(item)} disabled={isCanceling || !isConnected} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R228,apps/web/components/profile/ListingManagementCard.tsx,171,button,"<button type=""button"" onClick={() => onCancel(item)} disabled={isCanceling || !isConnected} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R229,apps/web/components/profile/ListingManagementCard.tsx,180,button,"<button type=""button"" onClick={() => onBuy(item)} disabled={!canBuy || isBuying} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
R230,apps/web/components/profile/ListingManagementClient.tsx,361,a,"<a href={metadataUrl} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"" onClick={(e) => e.stopPropagation()}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
