id,historical_source_file,historical_line,tag,source_control,desktop,mobile,keyboard,validation,wallet_disconnected,wallet_connected,account_network_change,evidence,issue,overall
C117,apps/web/components/mint/MintClient.tsx,4265,input,"<input value={registerSubnameLabel} onChange={(e) => setRegisterSubnameLabel(e.target.value)} list={identityMode === ""ens"" ? ""existing-ens-options"" : ""existing-ens-subname-options""} placeholder={identityMode === ""ens"" ? ""artist.eth"" : ""studio.example.eth""} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C118,apps/web/components/mint/MintClient.tsx,4299,input,<input value={registerSubnameLabel} onChange={(e) => setRegisterSubnameLabel(e.target.value)} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C119,apps/web/components/mint/MintClient.tsx,4321,button,"<button type=""button"" onClick={() => { void saveCollectionIdentity(); }} disabled={ !isConnected || !isAddress(manageAddress) || ((identityMode === ""nftfactory-subname"" || identityMode === ""register-eth"" || identityMode === ""register-eth-subname"") && wrongNetwork) || (identityMode === ""register-eth-subname"" && !String(collectionSubnameParent || """").trim()) || (identityMode === ""register-eth"" && Boolean(pendingCollectionEnsRegistration) && collectionRegistrationCountdown > 0) || subnameTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C120,apps/web/components/mint/MintClient.tsx,4363,input,"<input value={manageRoyaltyReceiver} onChange={(e) => setManageRoyaltyReceiver(e.target.value)} placeholder={account || ""0x...""} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C121,apps/web/components/mint/MintClient.tsx,4371,input,"<input inputMode=""numeric"" value={manageRoyaltyBps} onChange={(e) => setManageRoyaltyBps(sanitizeRoyaltyBpsInput(e.target.value))} placeholder=""500"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C122,apps/web/components/mint/MintClient.tsx,4381,button,"<button type=""button"" onClick={onSaveDefaultRoyalty} disabled={!isConnected || wrongNetwork || !isAddress(manageAddress) || royaltyTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C123,apps/web/components/mint/MintClient.tsx,4412,a,"<a href={toExplorerAddress(config.chainId, config.royaltySplitRegistry)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C124,apps/web/components/mint/MintClient.tsx,4445,input,"<input value={split.account} onChange={(e) => updateRoyaltySplitRow(index, ""account"", e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C125,apps/web/components/mint/MintClient.tsx,4453,input,"<input inputMode=""numeric"" value={split.bps} onChange={(e) => updateRoyaltySplitRow(index, ""bps"", e.target.value)} placeholder=""5000"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C126,apps/web/components/mint/MintClient.tsx,4466,button,"<button type=""button"" className=""secondary"" onClick={() => removeRoyaltySplitRow(index)} disabled={royaltySplitTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C127,apps/web/components/mint/MintClient.tsx,4486,button,"<button type=""button"" className=""secondary"" onClick={addRoyaltySplitRow} disabled={royaltySplitTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C128,apps/web/components/mint/MintClient.tsx,4494,button,"<button type=""button"" className=""secondary"" onClick={clearRoyaltySplitRows} disabled={royaltySplitTx.status === ""pending"" || manageRoyaltySplits.length === 0} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C129,apps/web/components/mint/MintClient.tsx,4502,button,"<button type=""button"" onClick={onSaveCollectionRoyaltySplits} disabled={!isConnected || wrongNetwork || !isAddress(manageAddress) || royaltySplitTx.status === ""pending""} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C130,apps/web/components/mint/MintClient.tsx,4545,a,"<a href={ownerExplorerUrl} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C131,apps/web/components/mint/MintClient.tsx,4582,input,"<input value={transferTarget} onChange={(e) => setTransferTarget(e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C132,apps/web/components/mint/MintClient.tsx,4589,button,"<button type=""button"" onClick={onCancelPendingOwnershipTransfer} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletOwnsCollection || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C133,apps/web/components/mint/MintClient.tsx,4602,button,"<button type=""button"" onClick={onTransferOwnership} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletOwnsCollection || !hasValidTransferTarget || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C134,apps/web/components/mint/MintClient.tsx,4620,button,"<button type=""button"" onClick={onAcceptOwnership} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletIsPendingOwner || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C135,apps/web/components/mint/MintClient.tsx,4646,input,"<input value={transferTarget} onChange={(e) => setTransferTarget(e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C136,apps/web/components/mint/MintClient.tsx,4652,button,"<button type=""button"" onClick={onTransferOwnership} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletOwnsCollection || !hasValidTransferTarget || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C137,apps/web/components/mint/MintClient.tsx,4677,input,"<input value={transferTarget} onChange={(e) => setTransferTarget(e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C138,apps/web/components/mint/MintClient.tsx,4683,button,"<button type=""button"" onClick={onTransferOwnership} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !connectedWalletOwnsCollection || !hasValidTransferTarget || transferTx.status === ""pending"" } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C139,apps/web/components/mint/MintClient.tsx,4713,input,"<input type=""checkbox"" checked={finalizeConfirmed} onChange={(e) => setFinalizeConfirmed(e.target.checked)} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C140,apps/web/components/mint/MintClient.tsx,4721,button,"<button type=""button"" onClick={onFinalizeUpgrades} disabled={ !isConnected || wrongNetwork || !isAddress(manageAddress) || !finalizeConfirmed || finalizeTx.status === ""pending"" } style={{ background: finalizeConfirmed ? ""#c00"" : undefined }} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C141,apps/web/components/mint/MintClient.tsx,4826,a,"<a href={toExplorerTx(getContractsConfig().chainId, state.hash)!} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C142,apps/web/components/profile/CreatorPageClient.tsx,12,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C143,apps/web/components/profile/CreatorPageClient.tsx,12,Link,"<Link className=""ctaLink"" href=""/profile/setup"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C144,apps/web/components/profile/CreatorPageClient.tsx,12,button,<button onClick={()=>setAttempt(v=>v+1)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C145,apps/web/components/profile/CreatorPageClient.tsx,12,Link,"<Link href=""/discover"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C146,apps/web/components/profile/CreatorSetupClient.tsx,22,input,<input value={name} maxLength={80} onChange={e=>{setName(e.target.value);setSaved(false);}} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C147,apps/web/components/profile/CreatorSetupClient.tsx,22,textarea,<textarea value={bio} maxLength={1200} onChange={e=>{setBio(e.target.value);setSaved(false);}} />,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C148,apps/web/components/profile/CreatorSetupClient.tsx,22,button,<button disabled={!address || !name.trim() || busy} onClick={()=>void save()}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C149,apps/web/components/profile/CreatorSetupClient.tsx,22,Link,"<Link className=""ctaLink"" href={`/profile/${address?.toLowerCase()}`}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C150,apps/web/components/profile/CreatorSetupClient.tsx,22,summary,<summary>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C151,apps/web/components/profile/CreatorSetupClient.tsx,22,Link,"<Link href=""/profile/setup?advanced=1"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C152,apps/web/components/profile/ListingManagementCard.tsx,115,a,"<a href={txLink} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C153,apps/web/components/profile/ListingManagementCard.tsx,139,button,"<button type=""button"" className=""miniBtn"" onClick={() => onCopy(`${prefix}-nft-${itemKeySuffix}`, item.nft)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C154,apps/web/components/profile/ListingManagementCard.tsx,146,button,"<button type=""button"" className=""miniBtn"" onClick={() => onCopy(`seller-${itemKeySuffix}`, item.seller)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C155,apps/web/components/profile/ListingManagementCard.tsx,152,a,"<a href={metadataUrl} target=""_blank"" rel=""noreferrer"" className=""feedLinkPill"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C156,apps/web/components/profile/ListingManagementCard.tsx,157,a,"<a href={mediaUrl} target=""_blank"" rel=""noreferrer"" className=""feedLinkPill"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C157,apps/web/components/profile/ListingManagementCard.tsx,163,button,"<button type=""button"" className=""feedLinkPill"" onClick={() => onUpdate(item)} disabled={isCanceling || !isConnected} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C158,apps/web/components/profile/ListingManagementCard.tsx,171,button,"<button type=""button"" onClick={() => onCancel(item)} disabled={isCanceling || !isConnected} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C159,apps/web/components/profile/ListingManagementCard.tsx,180,button,"<button type=""button"" onClick={() => onBuy(item)} disabled={!canBuy || isBuying} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C160,apps/web/components/profile/ListingManagementClient.tsx,361,a,"<a href={metadataUrl} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"" onClick={(e) => e.stopPropagation()}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C161,apps/web/components/profile/ListingManagementClient.tsx,366,a,"<a href={mediaUrl} target=""_blank"" rel=""noreferrer"" className=""ctaLink secondaryLink"" onClick={(e) => e.stopPropagation()}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C162,apps/web/components/profile/ListingManagementClient.tsx,1111,select,<select value={standard} onChange={(e) => setStandard(e.target.value as Standard)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C163,apps/web/components/profile/ListingManagementClient.tsx,1119,select,"<select value={selectedChainFilter === ""all"" ? ""all"" : String(selectedChainFilter)} onChange={(e) => setSelectedChainFilter(e.target.value === ""all"" ? ""all"" : Number.parseInt(e.target.value, 10)) } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C164,apps/web/components/profile/ListingManagementClient.tsx,1149,select,<select value={selectedContractKey} onChange={(e) => setSelectedContractKey(e.target.value)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C165,apps/web/components/profile/ListingManagementClient.tsx,1159,select,<select value={inventorySort} onChange={(e) => setInventorySort(e.target.value as InventorySort)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C166,apps/web/components/profile/ListingManagementClient.tsx,1187,select,<select value={inventorySort} onChange={(e) => setInventorySort(e.target.value as InventorySort)}>,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C167,apps/web/components/profile/ListingManagementClient.tsx,1218,input,"<input value={erc1155Amount} onChange={(e) => setErc1155Amount(e.target.value)} inputMode=""numeric"" min=""1"" max={selectedErc1155AvailableCap ? selectedErc1155AvailableCap.toString() : undefined} placeholder=""1"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C168,apps/web/components/profile/ListingManagementClient.tsx,1265,button,"<button type=""button"" className=""miniBtn"" onClick={clearListingUpdate}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C169,apps/web/components/profile/ListingManagementClient.tsx,1274,select,"<select value={paymentTokenType} onChange={(e) => setPaymentTokenType(e.target.value as ""ETH"" | ""ERC20"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C170,apps/web/components/profile/ListingManagementClient.tsx,1282,input,"<input value={erc20TokenAddress} onChange={(e) => setErc20TokenAddress(e.target.value)} placeholder=""0x..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C171,apps/web/components/profile/ListingManagementClient.tsx,1287,input,"<input value={priceInput} onChange={(e) => setPriceInput(e.target.value)} placeholder={paymentTokenType === ""ETH"" ? ""0.01"" : ""1000000""} />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C172,apps/web/components/profile/ListingManagementClient.tsx,1295,input,"<input value={listingDays} onChange={(e) => setListingDays(e.target.value)} inputMode=""numeric"" placeholder=""7"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C173,apps/web/components/profile/ListingManagementClient.tsx,1306,button,"<button type=""submit"" disabled={state.status === ""pending"" || (!editingListing && selectedTokens.length === 0)} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C174,apps/web/components/profile/ListingManagementTxStatus.tsx,18,a,"<a href={`${explorerBase}/tx/${state.hash}`} target=""_blank"" rel=""noreferrer"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C175,apps/web/components/profile/ProfileClient.tsx,2189,iframe,"<iframe title={embed.title} src={embed.embedUrl} loading=""lazy"" allow={embed.kind === ""youtube"" ? ""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" : ""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""} allowFullScreen={embed.kind === ""youtube""} referrerPolicy=""strict-origin-when-cross-origin"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C176,apps/web/components/profile/ProfileClient.tsx,2198,a,"<a href={embed.url} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C177,apps/web/components/profile/ProfileClient.tsx,2225,iframe,"<iframe title={block.title} src={block.embedView.embedUrl} loading=""lazy"" allow={block.embedView.kind === ""youtube"" ? ""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" : ""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""} allowFullScreen={block.embedView.kind === ""youtube""} referrerPolicy=""strict-origin-when-cross-origin"" className=""profileMyspaceRetroEmbedFrame"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C178,apps/web/components/profile/ProfileClient.tsx,2235,a,"<a href={block.embedUrl} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C179,apps/web/components/profile/ProfileClient.tsx,2244,a,"<a href={link} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C180,apps/web/components/profile/ProfileClient.tsx,2309,input,"<input value={guestbookName} onChange={(e) => setGuestbookName(e.target.value)} placeholder=""space friend"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C181,apps/web/components/profile/ProfileClient.tsx,2313,textarea,"<textarea value={guestbookMessage} onChange={(e) => setGuestbookMessage(e.target.value)} placeholder=""leave a comment for this page"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C182,apps/web/components/profile/ProfileClient.tsx,2316,button,"<button type=""button"" onClick={() => void submitGuestbookEntry()} disabled={guestbookState.status === ""pending""}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C183,apps/web/components/profile/ProfileClient.tsx,2334,button,"<button type=""button"" onClick={() => void hideGuestbookEntry(entry.id)} disabled={moderatingGuestbookEntryId === entry.id} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C184,apps/web/components/profile/ProfileClient.tsx,2341,button,"<button type=""button"" onClick={() => void deleteGuestbookEntry(entry.id)} disabled={moderatingGuestbookEntryId === entry.id} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C185,apps/web/components/profile/ProfileClient.tsx,2372,button,"<button type=""button"" onClick={() => void restoreGuestbookEntry(entry.id)} disabled={moderatingGuestbookEntryId === entry.id} >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C186,apps/web/components/profile/ProfileClient.tsx,2398,iframe,"<iframe key={customPreviewId} title={`${creatorDisplayName} custom profile module`} srcDoc={customProfilePreview} sandbox=""allow-popups"" className=""profileCustomModuleFrame"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C187,apps/web/components/profile/ProfileClient.tsx,2415,iframe,"<iframe title={embed.title} src={embed.embedUrl} loading=""lazy"" allow={embed.kind === ""youtube"" ? ""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" : ""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""} allowFullScreen={embed.kind === ""youtube""} referrerPolicy=""strict-origin-when-cross-origin"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C188,apps/web/components/profile/ProfileClient.tsx,2424,a,"<a href={embed.url} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C189,apps/web/components/profile/ProfileClient.tsx,2438,iframe,"<iframe title={block.title} src={block.embedView.embedUrl} loading=""lazy"" allow={block.embedView.kind === ""youtube"" ? ""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" : ""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture""} allowFullScreen={block.embedView.kind === ""youtube""} referrerPolicy=""strict-origin-when-cross-origin"" className=""profileMyspaceRetroEmbedFrame"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C190,apps/web/components/profile/ProfileClient.tsx,2438,a,"<a href={block.embedUrl} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C191,apps/web/components/profile/ProfileClient.tsx,2439,a,"<a href={link} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C192,apps/web/components/profile/ProfileClient.tsx,2450,input,"<input value={guestbookName} onChange={(e) => setGuestbookName(e.target.value)} placeholder=""space friend"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C193,apps/web/components/profile/ProfileClient.tsx,2450,textarea,"<textarea value={guestbookMessage} onChange={(e) => setGuestbookMessage(e.target.value)} placeholder=""leave a comment for this page"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C194,apps/web/components/profile/ProfileClient.tsx,2450,button,"<button type=""button"" onClick={() => void submitGuestbookEntry()} disabled={guestbookState.status === ""pending""}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C195,apps/web/components/profile/ProfileClient.tsx,2451,button,"<button type=""button"" onClick={() => void hideGuestbookEntry(entry.id)} disabled={moderatingGuestbookEntryId === entry.id}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C196,apps/web/components/profile/ProfileClient.tsx,2451,button,"<button type=""button"" onClick={() => void deleteGuestbookEntry(entry.id)} disabled={moderatingGuestbookEntryId === entry.id}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C197,apps/web/components/profile/ProfileClient.tsx,2452,button,"<button type=""button"" onClick={() => void restoreGuestbookEntry(entry.id)} disabled={moderatingGuestbookEntryId === entry.id}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C198,apps/web/components/profile/ProfileClient.tsx,2454,iframe,"<iframe key={customPreviewId} title={`${creatorDisplayName} custom profile module`} srcDoc={customProfilePreview} sandbox=""allow-popups"" className=""profileCustomModuleFrame"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C199,apps/web/components/profile/ProfileClient.tsx,2479,Link,"<Link href=""/mint?view=view"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C200,apps/web/components/profile/ProfileClient.tsx,2486,input,"<input value={sellerAddress} onChange={(e) => setSellerAddress(e.target.value.trim())} placeholder=""0xcreator..."" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C201,apps/web/components/profile/ProfileClient.tsx,2494,input,"<input value={scanDepth} onChange={(e) => setScanDepth(e.target.value)} inputMode=""numeric"" placeholder=""250"" />",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C202,apps/web/components/profile/ProfileClient.tsx,2498,select,"<select value={selectedChainFilter === ""all"" ? ""all"" : String(selectedChainFilter)} onChange={(e) => setSelectedChainFilter(e.target.value === ""all"" ? ""all"" : Number.parseInt(e.target.value, 10)) } >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C203,apps/web/components/profile/ProfileClient.tsx,2546,Link,"<Link href={`/profile/setup?label=${encodeURIComponent(name)}`} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C204,apps/web/components/profile/ProfileClient.tsx,2547,Link,"<Link href={`/mint?view=mint&collection=shared&profile=${encodeURIComponent(mintProfileParam)}`} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C205,apps/web/components/profile/ProfileClient.tsx,2548,Link,"<Link href=""/mint?view=view"" className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C206,apps/web/components/profile/ProfileClient.tsx,2562,Link,"<Link href={`/profile/setup?label=${encodeURIComponent(name)}`} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C207,apps/web/components/profile/ProfileClient.tsx,2563,Link,"<Link href={`/mint?view=mint&collection=shared&profile=${encodeURIComponent(mintProfileParam)}`} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C208,apps/web/components/profile/ProfileClient.tsx,2586,Link,"<Link href={buildMintCollectionHref(""view"", mintProfileParam)} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C209,apps/web/components/profile/ProfileClient.tsx,2590,Link,"<Link href={buildMintCollectionHref(""manage"", mintProfileParam)} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C210,apps/web/components/profile/ProfileClient.tsx,2602,Link,"<Link href={`/mint?view=mint&collection=shared&profile=${encodeURIComponent(mintProfileParam)}`} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C211,apps/web/components/profile/ProfileClient.tsx,2605,Link,"<Link href={buildMintCollectionHref(""view"", mintProfileParam)} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C212,apps/web/components/profile/ProfileClient.tsx,2631,a,"<a href={contractExplorer} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C213,apps/web/components/profile/ProfileClient.tsx,2638,Link,"<Link href={buildMintCollectionHref(""view"", mintProfileParam, collection.contractAddress)} className=""ctaLink secondaryLink"" >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C214,apps/web/components/profile/ProfileClient.tsx,2645,Link,"<Link href={buildMintCollectionHref(""manage"", mintProfileParam, collection.contractAddress)} className=""ctaLink secondaryLink"" >",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C215,apps/web/components/profile/ProfileClient.tsx,2694,button,"<button type=""button"" onClick={() => setScanDepth(""500"")}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C216,apps/web/components/profile/ProfileClient.tsx,2753,button,"<button type=""button"" onClick={() => setOwnerRailOpen((current) => !current)}>",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C217,apps/web/components/profile/ProfileClient.tsx,2786,a,"<a href={toExplorerAddress(wallet, config.chainId)!} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C218,apps/web/components/profile/ProfileClient.tsx,2804,Link,"<Link href={buildMintCollectionHref(""manage"", mintProfileParam)} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C219,apps/web/components/profile/ProfileClient.tsx,2813,Link,"<Link href={buildMintCollectionHref(""manage"", mintProfileParam)} className=""ctaLink secondaryLink"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C220,apps/web/components/profile/ProfileClient.tsx,2843,a,"<a href={contractExplorer} target=""_blank"" rel=""noreferrer"" className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
C221,apps/web/components/profile/ProfileClient.tsx,2852,Link,"<Link href={`/profile/${encodeURIComponent(attachedProfile.slug)}`} className=""mono"">",not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,not recorded,,,pending verification
